Phase,S.No.,Scope Item (as per Proposal),Status in CRM,How It Is Addressed in the CRM,Remarks / Notes
Phase 1: Funnel Mapping & Diagnostic Audit,1,"Map complete journey: lead generation to OPD/IPD to referral and follow-up",Fully Built,"Unified Patient Journey Funnel tracks Raw Lead > Contacted > Qualified > Appointment Booked > Consultation Done > Episode (Treatment Planning > Surgery > Post Care > Follow Up > Completed). Visual funnel bar on Lead Workspace, Lead Detail, and Kanban cards.",12-stage funnel for leads with episodes; 5-stage for lead-only
Phase 1: Funnel Mapping & Diagnostic Audit,2,"Review current use of platforms (Meta, Google, WhatsApp, CRM, Email, HMS)",Fully Built,"Platform Connectors module supports Meta Ads (Graph API v21.0), Google Forms, WhatsApp Business API, SMTP Email, and Telephony (Callyzer). Each connector has status tracking, sync monitoring, and credential management.",Connectors page under Configurations
Phase 1: Funnel Mapping & Diagnostic Audit,3,"Identify drop-offs and opportunities for automation",Fully Built,"Dashboard analytics show conversion funnels by stage. Dormant lead detection identifies inactive leads (5+ days). Nurture Engine auto-engages stale leads. Temperature Engine scores lead engagement.",Automated dormant detection + nurture sequences
Phase 1: Funnel Mapping & Diagnostic Audit,4,"Define basic funnel metrics and baseline conversion performance",Fully Built,"Dashboards display: Total Leads, Pipeline Value, Realized Revenue, Conversion Rate, Lead Source Breakdown, Funnel Stage Distribution, Call Performance metrics.",Role-based dashboards (Admin/Manager/Agent/Counsellor)
Phase 1: Funnel Mapping & Diagnostic Audit,5,"Share a phased action plan addressing risk, readiness, and alignment",Consulting Deliverable,"This is a consulting/strategy deliverable, not a software feature. The CRM supports execution of whatever action plan is defined.",To be delivered as a consulting document
Phase 2: CRM System Design & Funnel Structuring,6,"Selection of most suitable CRM tool",Fully Built,"myProSys Hospital CRM is the custom-built CRM tool, purpose-designed for hospital/orthopedic workflows. Multi-tenant, white-labeled, with hospital-specific terminology and workflows.",Custom-built for Viroc's exact needs
Phase 2: CRM System Design & Funnel Structuring,7,"Define lead lifecycle stages: new, consulted, follow-up, converted, referred",Fully Built,"Lead statuses: Raw Lead Captured, Contacted, Qualified, Appointment Booked, Reminder Running, Consultation Done, Consultation In Progress, Nurture, Closed Won, Closed Lost, No Show, Dormant. Episode statuses: Consultation In Progress > Done > Treatment Planning > Surgery Scheduled > Surgery Done > In Treatment > Post Care > Follow Up > Completed | Discontinued.",Comprehensive lifecycle covering both leads and episodes
Phase 2: CRM System Design & Funnel Structuring,8,"Build routing logic to ensure leads reach the right internal contact",Fully Built,"Auto-Handover Engine assigns leads to appropriate teams based on stage transitions. Round-robin lead assignment distributes new leads. Manual handover with accept/reject workflow. Lead Capture Rules route leads from specific sources to designated users.",Automated + manual routing supported
Phase 2: CRM System Design & Funnel Structuring,9,"Create structured funnels for various sources (ads, referrals, events, webinars)",Fully Built,"Lead Source Categories and Lead Sources master tables allow classification by channel. UTM tracking (source, medium, campaign, term, content) provides granular attribution. Campaign module links leads to specific campaigns. Event Management tracks event-sourced leads separately.",Source-aware funnels with UTM attribution
Phase 2: CRM System Design & Funnel Structuring,10,"Set up tracking that's easy to use and maintain",Fully Built,"Clean UI with Kanban workspace, list views, and search/filter. Activity logging auto-tracks calls, status changes, and interactions. Unified timeline on Lead Detail and Episode Detail pages.",Designed for '30-minute training' simplicity
Phase 2: CRM System Design & Funnel Structuring,11,"Keep tool selection flexible until most appropriate option is finalized",Fully Built,"CRM is built and operational. Modular architecture allows feature additions. Multi-tenant design supports white-labeling for future hospitals.",Decision made - custom CRM built
Phase 3: Patient Engagement Automation,12,"Build workflows for nurturing leads and following up with no-shows",Fully Built,"Nurture Engine: automated task chains at Day 1, 3, 7, 14, 30, 60 intervals when lead enters Nurture status. Auto No-Show detection after missed appointments with configurable policies. Dormant lead detection for re-engagement.",Fully automated nurture + no-show workflows
Phase 3: Patient Engagement Automation,13,"Reconnecting with old leads",Fully Built,"Dormant Lead Detection identifies leads with no activity for 5+ days (excludes active engagement statuses). Auto-creates re-engagement tasks. Nurture Engine handles systematic follow-up.",Automated dormant detection + nurture
Phase 3: Patient Engagement Automation,14,"Automate patient after-care reminders (3, 6, 12 months post-surgery)",Fully Built,"Post-Care Follow-Up Protocols module: configurable step-based task chains triggered when episode moves to Post Care or Completed. Steps define days-after-discharge, task titles, assignee type (Post Care Owner/Counsellor/Round Robin). Timeline visualization on Episode Detail page.",Fully configurable post-care protocols with auto-triggering
Phase 3: Patient Engagement Automation,15,"Set up referral coupon tracking systems",Partially Built,"Referral Management module tracks referrals with referrer, channel, outcome, and resulting lead linkage. Referral stats dashboard shows conversion rates and top referrers. However, specific coupon code generation and tracking is not yet implemented.",Referral tracking built; coupon code system not yet added
